DAUID,Target_name,Target_address,Distance (km)
59170310,James Bay Square,"425 Simcoe St, Victoria, BC V8V 4T3",0.69
59170311,James Bay Square,"425 Simcoe St, Victoria, BC V8V 4T3",0.66
59170312,James Bay Square,"425 Simcoe St, Victoria, BC V8V 4T3",0.78
59170313,James Bay Square,"425 Simcoe St, Victoria, BC V8V 4T3",0.56
59170371,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",0.93
59170372,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",0.91
59170373,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",0.64
59170375,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",0.36
59170376,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",0.66
59170378,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",0.84
59170383,Sandman Hotel Victoria,"2852 Douglas St, Victoria, BC V8T 4M5",0.22
59170383,Hoyne Brewing Company,"2740 Bridge St #101, Victoria, BC V8T 5C5",0.41
59170383,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.39
59170384,Douglas Centre,"2950 Douglas St, Victoria, BC V8T 4N4",0.21
59170384,Sandman Hotel Victoria,"2852 Douglas St, Victoria, BC V8T 4M5",0.39
59170385,Douglas Centre,"2950 Douglas St, Victoria, BC V8T 4N4",0.3
59170385,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.42
59170386,Douglas Centre,"2950 Douglas St, Victoria, BC V8T 4N4",0.61
59170387,Douglas Centre,"2950 Douglas St, Victoria, BC V8T 4N4",0.8
59170388,Douglas Centre,"2950 Douglas St, Victoria, BC V8T 4N4",1.05
59170388,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.99
59170389,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",1.33
59170389,Douglas Centre,"2950 Douglas St, Victoria, BC V8T 4N4",1.24
59170390,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",1.27
59170554,James Bay Square,"425 Simcoe St, Victoria, BC V8V 4T3",0.69
59170555,James Bay Square,"425 Simcoe St, Victoria, BC V8V 4T3",0.63
59170556,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.04
59170557,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.22
59170558,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.04
59170598,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",2.35
59170600,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",2.24
59170601,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",2.08
59170601,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",2.05
59170610,James Bay Square,"425 Simcoe St, Victoria, BC V8V 4T3",0.13
59170611,Cook Street Shopping Hub,"325 Cook St, Victoria, BC V8V 3X5",0.59
59170612,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.66
59170722,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",0.54
59170723,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",0.26
59170806,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.45
59170808,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.7
59170814,The Bay Centre,"1150 Douglas St, Victoria, BC V8W 3M9",0.46
59170816,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",0.84
59170817,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",0.26
59170819,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",0.55
59170820,Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",0.62
