name,address,latitude,longitude
downtown,NA,48.42070097585719, -123.36886026282822
downtown,NA,48.41860018830752, -123.36556419594231
downtown,NA,48.417569545110254, -123.36242264858969
downtown,NA,48.42179623302663, -123.36032490744115
downtown,NA,48.42351568951209, -123.3598199850779
downtown,NA,48.42291235193505, -123.35419110031103
downtown,NA,48.42724229874141, -123.35324956888405
downtown,NA,48.42762992556419, -123.36046426638858
downtown,NA,48.431053162538234, -123.36179251380563
downtown,NA,48.431065134915976, -123.36805367057704
downtown,NA,48.431153671604754, -123.37126801193963
downtown,NA,48.427733243475586, -123.3710010808013
downtown,NA,48.42317087835995, -123.36930407092592
