DAUID,Target_name,Target_address,Distance (km)
59170151,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.16
59170151,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.36
59170151,Wark Street Park,"Wark St, Victoria, BC V8T 1W7",0.44
59170152,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.25
59170152,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.28
59170152,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.21
59170152,Wark Street Park,"Wark St, Victoria, BC V8T 1W7",0.48
59170153,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.18
59170153,Wark Street Park,"Wark St, Victoria, BC V8T 1W7",0.38
59170153,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.43
59170154,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.05
59170154,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.45
59170154,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.49
59170155,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.41
59170155,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.43
59170155,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.5
59170156,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.41
59170156,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.47
59170157,Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1",0.12
59170157,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.34
59170162,Royal Athletic Park,Royal Athletic Park,0.17
59170162,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.36
59170162,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.43
59170162,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.29
59170163,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.27
59170163,The Fort Common,"1017 Blanshard St, Victoria, BC V8W 2H4",0.39
59170164,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.43
59170167,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.16
59170167,Royal Athletic Park,Royal Athletic Park,0.39
59170168,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.22
59170169,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.18
59170169,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.48
59170170,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.34
59170170,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.19
59170170,The Fort Common,"1017 Blanshard St, Victoria, BC V8W 2H4",0.41
59170171,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.34
59170171,Scurrah Green,"1580 Fort St, Victoria, BC V8S 5J2",0.38
59170172,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.15
59170172,Scurrah Green,"1580 Fort St, Victoria, BC V8S 5J2",0.19
59170174,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.3
59170174,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.43
59170174,Scurrah Green,"1580 Fort St, Victoria, BC V8S 5J2",0.42
59170174,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.47
59170175,David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.27
