DAUID,DA_address,Target_name,Target_address,Distance (km)
59170282,"929 Burdett Ave, Victoria, BC V8V 3G6",Cambria College,"210-702 Fort St, Victoria, BC V8W 3L7",0.3
59170282,"929 Burdett Ave, Victoria, BC V8V 3G6",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.33
59170282,"929 Burdett Ave, Victoria, BC V8V 3G6",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.33
59170282,"929 Burdett Ave, Victoria, BC V8V 3G6",Excel Career College,"1207 Douglas St, Victoria, BC V8W 2E7",0.4
59170282,"929 Burdett Ave, Victoria, BC V8V 3G6",Sprott Shaw Victoria College Campus,"103 - 31 Bastion Square, Victoria, BC V8W 1J1",0.46
59170282,"929 Burdett Ave, Victoria, BC V8V 3G6",Sprott Shaw College,"31 Bastion Square, Victoria, BC V8W 1J1",0.49
59170285,"1027 Collinson St, Victoria, BC V8V 3B9",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.64
59170286,"1030 Pendergast St, Victoria, BC V8V 2X2",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.91
59170286,"1038 Harling Ln, Victoria, BC V8V 3T6",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.79
59170287,"419 Chester Ave, Victoria, BC V8V 4B9",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.99
59170288,"1255 Oscar St, Victoria, BC V8V 2X6",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.28
59170288,"354 Chester Ave, Victoria, BC V8V 4B6",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.08
59170289,"535 Su'it St, Victoria, BC V8V 4C3",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.87
59170290,"1017 Oliphant Ave, Victoria, BC V8V 2T9",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.12
59170290,"1147 Oxford St, Victoria, BC V8V 2V2",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.22
59170291,"1236 Chapman St, Victoria, BC V8V 2T8",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.41
59170291,"135 Howe St, Victoria, BC V8V 4K5",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.65
59170292,"1125 Faithful St, Victoria, BC V8V 2R5",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.58
59170292,"127 Cambridge St, Victoria, BC V8V 4B1",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.51
59170292,"45 Cambridge St, Victoria, BC V8V 4A7",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.72
59170293,"19 Marlborough St, Victoria, BC V8V 4A5",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.74
59170293,"41 Wellington Ave, Victoria, BC V8V 4H5",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.83
59170294,"1321 George St, Victoria, BC V8S 1A8",Camosun College Lansdowne Campus,"3100 Foul Bay Rd, Victoria, BC V8P 5J2",1.75
59170294,"188 Bushby St, Victoria, BC V8S 1B6",Camosun College Lansdowne Campus,"3100 Foul Bay Rd, Victoria, BC V8P 5J2",1.35
59170295,"1025 Sutlej St, Victoria, BC V8V 2V9",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.04
59170295,"216 Vancouver St, Victoria, BC V8V 3S8",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.15
59170296,"235 St Andrews St, Victoria, BC V8V 2N1",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.13
59170296,"620 Avalon Rd, Victoria, BC V8V 1N7",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.96
59170297,"427 Government St, Victoria, BC V8V 2L4",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.83
59170298,"425 Quebec St, Victoria, BC V8V 1W7",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.54
59170298,"431 Powell St, Victoria, BC V8V 2J3",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.83
59170298,"617 Government St, Victoria, BC V8V 1X6",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.56
59170299,"215 Government St, Victoria, BC V8V 2K8",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.57
59170299,"575 Marifield Ave, Victoria, BC V8V 1N3",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.03
59170300,"136 S Turner St, Victoria, BC V8V 2J8",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.18
59170301,"540 Rithet St, Victoria, BC V8V 1E2",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.35
59170302,"40 Government St, Victoria, BC V8V 2K3",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.57
59170302,"548 Dallas Rd, Victoria, BC V8V 1B3",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.47
59170303,"416 Luxton Ave, Victoria, BC V8V 1C9",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.3
59170304,"132 Menzies St, Victoria, BC V8V 2G5",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.11
59170305,"345 St James St, Victoria, BC V8V 1J7",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.09
59170308,"443 Superior St, Victoria, BC V8V 4S7",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.75
59170309,"242 Ontario St, Victoria, BC V8V 1N2",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.92
59170310,"121 Michigan St, Victoria, BC V8V 1R2",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.99
59170311,"506 Pendray St, Victoria, BC V8V 0A9",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.65
59170312,"111 Niagara St, Victoria, BC V8V 1G1",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.33
59170312,"22 Simcoe St, Victoria, BC V8V 1K2",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.21
59170313,"130 Ladysmith St, Victoria, BC V8V 1J4",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.18
59170313,"46 Pilot St, Victoria, BC V8V 2A4",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.34
59170371,"831 Walker St, Victoria, BC V9A 4C3",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.85
59170371,"949 Hereward Rd, Victoria, BC V9A 4E1",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",2.01
59170372,"637 Pine St, Victoria, BC V9A 2Z9",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.88
59170372,"723 Belton Ave, Victoria, BC V9A 2Z7",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",2.04
59170373,"639 Langford St, Victoria, BC V9A 3C8",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.79
59170373,"824 Russell St, Victoria, BC V9A 3X7",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.56
59170375,"822 Catherine St, Victoria, BC V9A 3C2",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.41
59170376,"442 William St, Victoria, BC V9A 3Y9",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.56
59170378,"230 Robert St, Victoria, BC V9A 3Z2",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.5
59170378,"707 Esquimalt Rd, Victoria, BC V9A 3L7",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.75
59170383,"2519 Rock Bay Ave, Victoria, BC V8T 4R7",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",0.97
59170383,"2975 Jutland Rd 1st Flr, Victoria, BC V8T 5J9",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.25
59170383,"David St, Victoria, BC V8T 2C6",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.2
59170384,"610 Dunedin St, Victoria, BC V8T 2L8",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.04
