DAUID,Target_name,Target_address,Distance (km)
59170126,Edison College,"3318 Oak St, Victoria, BC V8X 1R1",0.81
59170127,Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.01
59170128,Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.42
59170129,Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.39
59170130,Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.87
59170131,Edison College,"3318 Oak St, Victoria, BC V8X 1R1",2.22
59170132,Edison College,"3318 Oak St, Victoria, BC V8X 1R1",2.12
59170133,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.99
59170133,Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",2.39
59170134,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.79
59170135,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.75
59170136,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.56
59170137,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.73
59170138,Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.77
59170139,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.66
59170140,Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.24
59170140,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.39
59170141,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.33
59170142,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.15
59170143,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.97
59170143,Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",0.49
59170144,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.78
59170145,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.0
59170146,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.2
59170147,Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.06
59170148,Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",0.99
59170149,Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",1.07
