DAUID,DA_address,Target_name,Target_address,Distance (km)
59170144,"1022 N Park St, Victoria, BC V8T 1C6",Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.29
59170144,"1022 N Park St, Victoria, BC V8T 1C6",BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.43
59170144,"1022 N Park St, Victoria, BC V8T 1C6",Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.45
59170144,"1022 N Park St, Victoria, BC V8T 1C6",Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.46
59170144,"1022 N Park St, Victoria, BC V8T 1C6",Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.49
59170144,"1034 Princess Ave, Victoria, BC V8T 1L1",Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.25
59170145,"2323 Vancouver St, Victoria, BC V8T 4A2",Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.2
59170146,"2555 Vancouver St, Victoria, BC V8T 4A6",Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.36
59170146,"2555 Vancouver St, Victoria, BC V8T 4A6",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.37
59170146,"2555 Vancouver St, Victoria, BC V8T 4A6",Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.39
59170148,"2317 Dowler Pl, Victoria, BC V8T 4H5",Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.26
59170148,"2317 Dowler Pl, Victoria, BC V8T 4H5",Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.29
59170148,"2317 Dowler Pl, Victoria, BC V8T 4H5",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.33
59170148,"2317 Dowler Pl, Victoria, BC V8T 4H5",Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.35
59170148,"2501 Dowler Pl, Victoria, BC V8T 4H7",Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.16
59170148,"2501 Dowler Pl, Victoria, BC V8T 4H7",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.23
59170148,"2501 Dowler Pl, Victoria, BC V8T 4H7",Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.34
59170148,"2501 Dowler Pl, Victoria, BC V8T 4H7",Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.45
59170148,"2533 Dowler Pl, Victoria, BC V8T 4H7",Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.09
59170148,"2533 Dowler Pl, Victoria, BC V8T 4H7",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.17
59170148,"2533 Dowler Pl, Victoria, BC V8T 4H7",Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.4
59170149,"2620 Dowler Pl, Victoria, BC V8T 4H8",Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.27
59170149,"2620 Dowler Pl, Victoria, BC V8T 4H8",Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.3
59170149,"2620 Dowler Pl, Victoria, BC V8T 4H8",Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.34
59170149,"2620 Dowler Pl, Victoria, BC V8T 4H8",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.42
59170149,"2620 Dowler Pl, Victoria, BC V8T 4H8",Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.48
59170149,"955 Hillside Ave, Victoria, BC V8T 1Z9",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.12
59170149,"955 Hillside Ave, Victoria, BC V8T 1Z9",Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.18
59170150,"723 Field St, Victoria, BC V8T 1N7",Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.33
59170150,"723 Field St, Victoria, BC V8T 1N7",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.41
59170150,"723 Field St, Victoria, BC V8T 1N7",Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.42
59170151,"932 Market St, Victoria, BC V8T 2E9",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.3
59170151,"932 Market St, Victoria, BC V8T 2E9",Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.38
59170152,"272 Fifth St, Victoria, BC V8T 4E8",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.78
59170152,"2735 Fifth St, Victoria, BC V8T 4B1",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.38
59170152,"2735 Fifth St, Victoria, BC V8T 4B1",Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.46
59170153,"2648 Graham St, Victoria, BC V8T 3Y9",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.33
59170153,"2648 Graham St, Victoria, BC V8T 3Y9",Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.39
59170154,"2840 Prior St, Victoria, BC V8T 3Y3",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.62
59170155,"2631 Blackwood St, Victoria, BC V8T 3W3",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.57
59170156,"1250 Vista Heights, Victoria, BC V8T 2H8",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.77
59170156,"1345 Topaz Ave, Victoria, BC V8T 4Z2",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.89
59170157,"2526 Wesley Pl, Victoria, BC V8T 1V2",Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.6
59170157,"2576 Empire St, Victoria, BC V8T 3M6",Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.6
59170162,"1028 Balmoral Rd, Victoria, BC V8T 1A8",Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.27
59170162,"1028 Balmoral Rd, Victoria, BC V8T 1A8",Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.4
59170162,"1028 Balmoral Rd, Victoria, BC V8T 1A8",BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.4
59170162,"1565 Vancouver St, Victoria, BC V8V 0C8",Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.29
59170162,"1565 Vancouver St, Victoria, BC V8V 0C8",Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.32
59170162,"1565 Vancouver St, Victoria, BC V8V 0C8",Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.37
59170162,"1565 Vancouver St, Victoria, BC V8V 0C8",BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.45
59170162,"1565 Vancouver St, Victoria, BC V8V 0C8",Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.46
59170162,"1565 Vancouver St, Victoria, BC V8V 0C8",Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.49
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.11
59170163,"930 Yates St, Victoria, BC V8V 4Z3",BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.27
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",0.28
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.32
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Cineplex Odeon Victoria Cinemas,"780 Yates St, Victoria, BC V8W 1L4",0.35
59170163,"930 Yates St, Victoria, BC V8V 4Z3",YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.37
59170163,"930 Yates St, Victoria, BC V8V 4Z3",The Coda,"751 View St, Victoria, BC V8W 1J9",0.38
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.44
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.44
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.5
59170164,"1030 Yates St, Victoria, BC V8V 5A7",Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.28
59170164,"1030 Yates St, Victoria, BC V8V 5A7",Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.36
59170164,"1030 Yates St, Victoria, BC V8V 5A7",Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.41
59170164,"1030 Yates St, Victoria, BC V8V 5A7",BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.43
59170164,"1030 Yates St, Victoria, BC V8V 5A7",Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",0.48
59170164,"1030 Yates St, Victoria, BC V8V 5A7",YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.49
59170165,"1144 View St, Victoria, BC V8V 3M1",Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.1
59170165,"1144 View St, Victoria, BC V8V 3M1",Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.39
59170165,"1144 View St, Victoria, BC V8V 3M1",Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.48
59170167,"1607 Rebecca St, Victoria, BC V8T 3N3",Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.49
59170168,"1229 Pandora Ave, Victoria, BC V8V 3R3",Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.43
59170168,"26-1132 Johnson St, Victoria, BC V8V 3N8",Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.32
59170168,"26-1132 Johnson St, Victoria, BC V8V 3N8",Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.5
59170169,"1230 Balmoral Rd, Victoria, BC V8T 1B3",Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.6
59170169,"1285 Balmoral Rd, Victoria, BC V8T 1B4",Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.61
59170170,"1215 Johnson St, Victoria, BC V8V 3N9",Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.24
59170170,"1215 Johnson St, Victoria, BC V8V 3N9",Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.43
59170170,"1250 Johnson St, Victoria, BC V8V 4L4",Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.33
59170170,"1250 Johnson St, Victoria, BC V8V 4L4",Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.43
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.02
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.19
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.25
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",0.27
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Cineplex Odeon Victoria Cinemas,"780 Yates St, Victoria, BC V8W 1L4",0.31
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.36
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",The Coda,"751 View St, Victoria, BC V8W 1J9",0.37
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.41
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.42
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.47
59170171,"1404 Harrison St, Victoria, BC V8S 3S2",Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.4
59170171,"1404 Harrison St, Victoria, BC V8S 3S2",Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.47
59170172,"1436 Elford St, Victoria, BC V8S 3S8",Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.42
59170174,"1337 Grant St, Victoria, BC V8R 1M2",Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.67
59170174,"1434 Grant St, Victoria, BC V8R 1M5",Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.74
59170175,"1436 Gladstone Ave, Victoria, BC V8R 1S3",Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.93
