DAUID,Target_name,Target_address,Distance (km)
59170224,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",2.85
59170225,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",3.02
59170226,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.74
59170227,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.81
59170228,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.53
59170229,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",3.04
59170272,Ross Bay Pebbles Beach,"1528 Hollywood Crescent, Victoria, BC V8S 3M7",0.15
59170272,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",0.27
59170272,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",0.34
59170273,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",0.6
59170274,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",0.71
59170274,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.74
59170275,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",1.02
59170275,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",1.33
59170276,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",1.21
59170276,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",1.42
59170277,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",1.35
59170278,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",1.58
59170279,Greater Victoria Harbour Authority,"1019 Wharf St #100, Victoria, BC V8W 2Y9",1.29
59170280,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",1.12
59170281,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",1.04
59170282,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.38
59170282,Greater Victoria Harbour Authority,"1019 Wharf St #100, Victoria, BC V8W 2Y9",0.45
59170285,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",1.0
59170286,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",1.04
59170287,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",1.06
59170288,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.93
59170288,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.95
59170289,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",1.28
59170290,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.83
59170291,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.57
59170291,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.45
59170291,Steve Fonyo Beach,"645 Dallas Rd, Victoria, BC V8V 1B6",0.46
59170292,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.4
59170292,Steve Fonyo Beach,"645 Dallas Rd, Victoria, BC V8V 1B6",0.4
59170292,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.41
59170293,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.24
59170293,Steve Fonyo Beach,"645 Dallas Rd, Victoria, BC V8V 1B6",0.24
59170293,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.28
59170294,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.21
59170294,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.26
