DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170199,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.11,1330660
59170200,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.42,1457357
59170201,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.02,1862585
59170202,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.21,1550804
59170203,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.4,1300673
59170204,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.68,1727751
59170224,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",2.59,732699
59170225,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",2.38,1138123
59170226,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",2.28,1003121
59170227,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",2.08,774338
59170228,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.85,1077533
59170229,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",2.19,1313463
59170272,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.58,1531335
59170273,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.79,1390356
59170274,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.63,1354646
59170275,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.47,2250456
59170276,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.05,1296327
59170277,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.23,1603164
59170278,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.96,984172
59170279,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.67,1357393
59170280,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.62,1365597
