DAUID,DA_address,Target_name,Target_address,Distance (km)
59170135,"2737 Avebury Ave, Victoria, BC V8R 3W5",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.15
59170135,"2737 Avebury Ave, Victoria, BC V8R 3W5",David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.49
59170136,"2536 Garden St, Victoria, BC V8T 3G5",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.32
59170136,"2536 Garden St, Victoria, BC V8T 3G5",Oaklands Park,"1500 Kings Rd, Victoria, BC V8R 4G8",0.34
59170136,"2536 Garden St, Victoria, BC V8T 3G5",Kings Community Nature Space,"1845 Kings Rd, Victoria, BC V8R 2P3",0.34
59170136,"2536 Garden St, Victoria, BC V8T 3G5",Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.47
59170136,"2640 Cedar Hill Rd, Victoria, BC V8T 3H2",Oaklands Park,"1500 Kings Rd, Victoria, BC V8R 4G8",0.14
59170136,"2640 Cedar Hill Rd, Victoria, BC V8T 3H2",Kings Community Nature Space,"1845 Kings Rd, Victoria, BC V8R 2P3",0.14
59170136,"2640 Cedar Hill Rd, Victoria, BC V8T 3H2",Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.29
59170136,"2640 Cedar Hill Rd, Victoria, BC V8T 3H2",Hillside Park,"1280 Hillside Ave, Victoria, BC V8T 2B3",0.42
59170136,"2640 Cedar Hill Rd, Victoria, BC V8T 3H2",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.47
59170137,"2522 Avebury Ave, Victoria, BC V8R 3V9",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.14
59170137,"2636 Roseberry Ave, Victoria, BC V8R 3T7",Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.28
59170137,"2636 Roseberry Ave, Victoria, BC V8R 3T7",Oaklands Park,"1500 Kings Rd, Victoria, BC V8R 4G8",0.31
59170137,"2636 Roseberry Ave, Victoria, BC V8R 3T7",Kings Community Nature Space,"1845 Kings Rd, Victoria, BC V8R 2P3",0.31
59170137,"2636 Roseberry Ave, Victoria, BC V8R 3T7",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.36
59170138,"2544 Forbes St, Victoria, BC V8R 4B8",David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.31
59170138,"2544 Forbes St, Victoria, BC V8R 4B8",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.32
59170138,"2634 Belmont Ave, Victoria, BC V8R 4A6",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.41
59170138,"2634 Belmont Ave, Victoria, BC V8R 4A6",Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.45
59170139,"1440 Taunton St, Victoria, BC V8R 1W9",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.23
59170139,"1440 Taunton St, Victoria, BC V8R 1W9",David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.33
59170139,"1453 Walnut St, Victoria, BC V8R 1Y7",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.19
59170139,"1453 Walnut St, Victoria, BC V8R 1Y7",David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.28
59170140,"1325 Denman St, Victoria, BC V8R 1X4",David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.2
