DAUID,min_distance_doctors,avg_distance_doctors,count_doctors_within_500m,Residential_TotalGross_Average,min_distance_downtown,avg_distance_downtown,count_downtown_within_500m,min_distance_entertainment,avg_distance_entertainment,count_entertainment_within_500m,min_distance_golf,avg_distance_golf,count_golf_within_500m,min_distance_grocery,avg_distance_grocery,count_grocery_within_500m,min_distance_hospital,avg_distance_hospital,count_hospital_within_500m,min_distance_parks,avg_distance_parks,count_parks_within_500m,min_distance_school,avg_distance_school,count_school_within_500m,min_distance_shopping,avg_distance_shopping,count_shopping_within_500m,min_distance_university,avg_distance_university,count_university_within_500m,min_distance_waterfront,avg_distance_waterfront,count_waterfront_within_500m
59170146,0.32,0.32,1,992863,0.76,0.76,0,0.36,0.37333333333333335,3,1.53,1.53,0,0.23,0.355,2,1.12,1.12,0,0.35,0.4033333333333333,3,0.49,0.49,1,0.56,0.56,0,1.2,1.2,0,1.37,1.37,0
59170147,0.38,0.38,1,1114659,0.59,0.59,0,0.24,0.33999999999999997,4,1.69,1.69,0,0.27,0.38,2,1.29,1.29,0,0.24,0.31,2,0.66,0.66,0,0.44,0.44,1,1.06,1.06,0,1.19,1.19,0
59170148,0.44,0.44,1,751104,0.5,0.5,1,0.17,0.28750000000000003,4,1.83,1.83,0,0.35,0.4166666666666667,3,1.49,1.49,0,0.34,0.3833333333333333,3,0.78,0.78,0,0.23,0.23,1,0.99,0.99,0,1.02,1.02,0
59170149,0.42,0.42,1,8913936,0.58,0.58,0,0.26,0.316,5,1.79,1.79,0,0.12,0.24666666666666667,3,1.5,1.5,0,0.12,0.19333333333333333,3,0.69,0.69,0,0.31,0.31,1,1.07,1.07,0,1.07,1.07,0
59170150,0.64,0.64,0,762385,0.43,0.43,1,0.33,0.415,4,2.04,2.04,0,0.57,0.57,0,1.74,1.74,0,0.5,0.5,1,0.88,0.88,0,0.19,0.19,1,0.85,0.85,0,0.8,0.8,0
59170151,0.18,0.18,1,729644,1.04,1.04,0,0.3,0.33999999999999997,2,1.37,1.37,0,0.02,0.1366666666666667,3,1.22,1.22,0,0.11,0.135,2,0.28,0.28,1,0.53,0.53,0,1.52,1.52,0,1.43,1.43,0
59170152,0.41,0.41,1,775374,1.31,1.31,0,0.46,0.52,1,1.18,1.18,0,0.23,0.26666666666666666,3,1.15,1.15,0,0.21,0.308,5,0.32,0.375,2,0.63,0.7150000000000001,0,1.19,1.385,0,1.56,1.56,0
59170153,0.11,0.11,1,878368,0.96,0.96,0,0.33,0.36,2,1.33,1.33,0,0.15,0.23666666666666666,3,1.05,1.05,0,0.18,0.245,2,0.46,0.46,1,0.59,0.59,0,1.44,1.44,0,1.51,1.51,0
59170154,0.42,0.42,1,1113701,1.34,1.34,0,0.62,0.62,0,1.03,1.03,0,0.33,0.39,2,0.97,0.97,1,0.45,0.4666666666666666,3,0.38,0.435,2,0.87,0.87,0,1.51,1.51,0,1.69,1.69,0
59170155,0.37,0.37,1,938330,1.1,1.1,0,0.57,0.57,0,1.19,1.19,0,0.38,0.435,2,0.81,0.81,1,0.33,0.395,4,0.21,0.295,2,0.82,0.82,0,1.54,1.54,0,1.7,1.7,0
59170156,0.67,0.67,0,948668,1.52,1.52,0,0.77,0.8300000000000001,0,0.76,0.76,0,0.66,0.66,0,0.6,0.6,1,0.29,0.29,1,0.21,0.325,2,1.03,1.04,0,1.8,1.8,0,2.06,2.06,0
59170157,0.67,0.67,0,955186,0.99,0.99,0,0.6,0.6,0,1.43,1.43,0,0.55,0.6000000000000001,0,0.86,0.86,1,0.34,0.392,5,0.33,0.37,2,0.98,0.98,0,1.36,1.36,0,1.68,1.68,0
59170161,0.07,0.07,1,664723,0.89,0.89,0,0.18,0.215,2,1.46,1.46,0,0.12,0.14666666666666667,3,1.22,1.22,0,0.0,0.08,2,0.44,0.44,1,0.43,0.43,1,1.38,1.38,0,1.39,1.39,0
59170162,0.23,0.335,2,740379,0.4,0.4,1,0.29,0.39142857142857146,7,2.17,2.17,0,0.3,0.3,1,1.33,1.33,0,0.15,0.33285714285714285,7,0.57,0.57,0,0.82,0.8999999999999999,0,0.63,0.63,0,1.13,1.13,0
59170163,0.41,0.41,1,784258,0.37,0.37,1,0.11,0.346,10,2.68,2.68,0,0.25,0.25,1,0.86,0.86,1,0.27,0.325,2,0.41,0.41,1,0.64,0.64,0,0.26,0.38,1,0.86,0.86,0
59170164,0.2,0.305,2,572359,0.35,0.35,1,0.28,0.4083333333333334,6,2.65,2.65,0,0.22,0.22,1,0.83,0.83,1,0.22,0.325,2,0.42,0.42,1,0.84,0.84,0,0.47,0.47,1,1.07,1.07,0
59170165,0.13,0.13,1,1139310,0.29,0.29,1,0.1,0.3233333333333333,3,2.74,2.74,0,0.47,0.47,1,0.78,0.78,1,0.32,0.32,1,0.51,0.51,0,1.12,1.12,0,0.73,0.73,0,1.33,1.33,0
59170166,0.14,0.25,2,836456,0.31,0.31,1,0.28,0.4033333333333333,3,2.56,2.56,0,0.38,0.38,1,0.95,0.95,1,0.2,0.27,2,0.46,0.505,1,1.15,1.15,0,0.76,0.76,0,1.37,1.37,0
59170167,0.13,0.225,2,1482694,0.16,0.16,1,0.49,0.49,1,2.32,2.32,0,0.31,0.31,1,1.17,1.17,0,0.16,0.314,5,0.41,0.41,1,1.15,1.15,0,0.75,0.75,0,1.38,1.38,0
59170168,0.21,0.275,2,1337071,0.29,0.29,1,0.36,0.43,2,2.49,2.49,0,0.41,0.41,1,1.04,1.04,0,0.23,0.255,2,0.44,0.45,2,1.21,1.21,0,0.81,0.81,0,1.43,1.43,0
59170169,0.41,0.43,2,1571427,0.45,0.45,1,0.6,0.605,0,2.3,2.3,0,0.37,0.37,1,1.3,1.3,0,0.18,0.38,5,0.22,0.3666666666666667,3,1.45,1.45,0,1.05,1.05,0,1.59,1.675,0
59170170,0.3,0.375,2,775090,0.33,0.33,1,0.02,0.31583333333333335,12,2.59,2.59,0,0.41,0.41,1,0.97,0.97,1,0.19,0.29000000000000004,3,0.42,0.4533333333333333,3,1.04,1.04,0,0.35,0.4675,1,1.26,1.26,0
59170171,0.62,0.62,0,1738272,0.69,0.69,0,0.4,0.435,2,2.55,2.55,0,0.54,0.54,0,1.25,1.25,0,0.34,0.395,2,0.2,0.33499999999999996,2,1.49,1.49,0,1.27,1.27,0,1.81,1.81,0
59170172,0.64,0.64,0,975298,0.87,0.87,0,0.42,0.42,1,2.54,2.54,0,0.39,0.435,2,1.28,1.28,0,0.15,0.15,1,0.32,0.32,1,1.48,1.48,0,1.46,1.46,0,1.78,1.78,0
59170174,0.62,0.645,0,1179242,0.82,0.82,0,0.71,0.71,0,2.25,2.25,0,0.3,0.3833333333333333,3,1.17,1.17,0,0.3,0.39999999999999997,3,0.35,0.42,2,1.71,1.75,0,1.44,1.44,0,1.95,1.995,0
59170175,0.65,0.65,0,1259333,1.14,1.14,0,0.95,0.985,0,2.05,2.05,0,0.35,0.3825,4,0.86,0.86,1,0.27,0.3775,4,0.54,0.615,0,1.71,1.71,0,1.45,1.525,0,2.18,2.185,0
59170177,0.1,0.1,1,802456,1.47,1.47,0,0.9,0.9,0,2.53,2.53,0,0.15,0.195,2,0.73,0.73,1,0.19,0.35000000000000003,3,0.38,0.38,1,1.68,1.68,0,1.07,1.07,0,1.73,1.73,0
59170178,0.21,0.21,1,1077058,1.67,1.67,0,0.8,0.8,0,2.59,2.59,0,0.35,0.395,2,0.62,0.62,1,0.31,0.405,2,0.18,0.18,1,1.76,1.76,0,0.86,0.86,0,1.73,1.73,0
59170179,0.35,0.35,1,912374,1.56,1.56,0,0.85,0.85,0,2.33,2.33,0,0.36,0.4,2,0.5,0.5,1,0.15,0.315,2,0.36,0.36,1,1.86,1.86,0,1.01,1.01,0,1.96,1.96,0
