DAUID,Target_name,Target_address,Distance (km)
59170144,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.43
59170144,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.35
59170145,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.2
59170145,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.28
59170145,Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8",0.41
59170145,Stevenson Memorial Park,"1233 Pembroke St, Victoria, BC V8T 1J6",0.43
59170146,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.35
59170146,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.36
59170146,Wark Street Park,"2575 Wark St, Victoria, BC V8T 4G7",0.5
59170147,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.24
59170147,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.38
59170148,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.34
59170148,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.39
59170148,Wark Street Park,"2575 Wark St, Victoria, BC V8T 4G7",0.42
59170149,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.3
59170149,Wark Street Park,"2575 Wark St, Victoria, BC V8T 4G7",0.12
59170149,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.16
59170150,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.5
59170151,Wark Street Park,"2575 Wark St, Victoria, BC V8T 4G7",0.11
59170151,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.16
59170152,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.25
59170152,Topaz Park,"841 Finlayson St, Victoria, BC V8T 5K8",0.42
59170152,Wesley Park Playground,"841 Finlayson St, Victoria, BC V8T 5K8",0.42
59170152,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.21
59170152,Wark Street Park,"2575 Wark St, Victoria, BC V8T 4G7",0.24
59170153,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.18
59170153,Wark Street Park,"2575 Wark St, Victoria, BC V8T 4G7",0.31
59170154,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.45
59170154,Wark Street Park,"2575 Wark St, Victoria, BC V8T 4G7",0.46
59170154,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.49
59170155,Hillside Park,"1280 Hillside Ave, Victoria, BC V8T 2B3",0.33
59170155,Oaklands Park,"1500 Kings Rd, Victoria, BC V8R 4G8",0.41
59170155,Kings Community Nature Space,"1845 Kings Rd, Victoria, BC V8R 2P3",0.41
59170155,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.43
59170156,Hillside Park,"1280 Hillside Ave, Victoria, BC V8T 2B3",0.29
59170157,Oaklands Park,"1500 Kings Rd, Victoria, BC V8R 4G8",0.34
59170157,Kings Community Nature Space,"1845 Kings Rd, Victoria, BC V8R 2P3",0.34
59170157,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.41
59170157,Stevenson Memorial Park,"1233 Pembroke St, Victoria, BC V8T 1J6",0.41
59170157,Hillside Park,"1280 Hillside Ave, Victoria, BC V8T 2B3",0.46
59170161,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.0
59170161,Wark Street Park,"2575 Wark St, Victoria, BC V8T 4G7",0.16
59170162,Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8",0.15
59170162,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.36
59170162,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.36
59170162,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.33
59170162,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.43
59170162,Stevenson Memorial Park,"1233 Pembroke St, Victoria, BC V8T 1J6",0.41
59170162,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.29
59170163,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.27
59170163,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.38
59170164,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.22
59170164,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.43
59170165,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.32
59170166,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.2
59170166,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.34
59170167,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.16
59170167,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.17
59170167,Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8",0.34
59170167,Stevenson Memorial Park,"1233 Pembroke St, Victoria, BC V8T 1J6",0.42
59170167,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.48
59170168,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.28
59170168,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.23
59170169,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.18
59170169,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.37
59170169,Stevenson Memorial Park,"1233 Pembroke St, Victoria, BC V8T 1J6",0.4
59170169,Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8",0.47
59170169,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.48
59170170,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.34
59170170,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.34
59170170,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.19
59170171,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.34
59170171,Rockland Woodland Garden,"1059 Craigdarroch Rd, Victoria, BC V8S 2A5",0.45
59170172,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.15
59170174,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.3
59170174,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.43
59170174,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.47
59170175,David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.27
59170175,Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.41
59170175,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.44
59170175,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.39
59170177,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.19
59170177,Terrace Park,"1002 Terrace Ave, Victoria, BC V8S 3V2",0.38
59170177,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.48
59170178,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.31
59170178,Terrace Park,"1002 Terrace Ave, Victoria, BC V8S 3V2",0.5
59170179,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.15
59170179,David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.48
59170180,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.55
59170181,Redfern Park,"1755 Redfern St, Victoria, BC V8R 4X3",0.6
59170181,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.75
59170197,Redfern Park,"1755 Redfern St, Victoria, BC V8R 4X3",0.14
59170198,Redfern Park,"1755 Redfern St, Victoria, BC V8R 4X3",0.43
59170199,Terrace Park,"1002 Terrace Ave, Victoria, BC V8S 3V2",0.17
59170200,Abkhazi Garden,"1964 Fairfield Rd, Victoria, BC V8S 1H2",0.25
59170200,Redfern Park,"1755 Redfern St, Victoria, BC V8R 4X3",0.42
59170201,Pemberton Park,"1855 Richardson St, Victoria, BC V8S 1S1",0.36
59170201,The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",0.44
59170201,Terrace Park,"1002 Terrace Ave, Victoria, BC V8S 3V2",0.34
59170202,Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",0.24
59170202,Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",0.24
59170202,Pemberton Park,"1855 Richardson St, Victoria, BC V8S 1S1",0.33
59170203,Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",0.14
59170203,Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",0.14
59170203,Gonzales Park,"1809 Crescent Rd, Victoria, BC V8S 2G6",0.31
59170203,Pemberton Park,"1855 Richardson St, Victoria, BC V8S 1S1",0.46
59170203,Abkhazi Garden,"1964 Fairfield Rd, Victoria, BC V8S 1H2",0.5
59170204,Gonzales Park,"1809 Crescent Rd, Victoria, BC V8S 2G6",0.25
59170204,Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",0.3
59170204,Abkhazi Garden,"1964 Fairfield Rd, Victoria, BC V8S 1H2",0.19
59170204,Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",0.3
59170224,David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.71
59170225,Browning Park,"3324 Shelbourne St, Victoria, BC V8P 5H1",0.5
59170226,David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.55
59170227,Browning Park,"3324 Shelbourne St, Victoria, BC V8P 5H1",0.55
59170227,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.36
59170228,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.32
59170229,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.27
59170229,Browning Park,"3324 Shelbourne St, Victoria, BC V8P 5H1",0.44
59170272,Gonzales Park,"1809 Crescent Rd, Victoria, BC V8S 2G6",0.34
