DAUID,DA_address,Target_name,Target_address,Distance (km)
59170142,"1224 Princess Ave, Victoria, BC V8T 1L5",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.37
59170143,"1137 Caledonia Ave, Victoria, BC V8T 1E9",George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.33
59170143,"1137 Caledonia Ave, Victoria, BC V8T 1E9",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.36
59170143,"1284D Gladstone Ave, Victoria, BC V8T 1G6",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.15
59170143,"1284D Gladstone Ave, Victoria, BC V8T 1G6",George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.22
59170143,"1907 Chambers St, Victoria, BC V8T 3K5",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.24
59170143,"1907 Chambers St, Victoria, BC V8T 3K5",George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.29
59170143,"935 Caledonia Ave, Victoria, BC V8T 1E7",Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",1.09
59170144,"1022 N Park St, Victoria, BC V8T 1C6",George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.54
59170144,"1034 Princess Ave, Victoria, BC V8T 1L1",George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.41
59170145,"2323 Vancouver St, Victoria, BC V8T 4A2",George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.51
59170146,"2555 Vancouver St, Victoria, BC V8T 4A6",Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.49
59170147,"2511 Quadra St, Victoria, BC V8T 4E1",Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.66
59170148,"2317 Dowler Pl, Victoria, BC V8T 4H5",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.87
59170148,"2501 Dowler Pl, Victoria, BC V8T 4H7",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.77
59170148,"2533 Dowler Pl, Victoria, BC V8T 4H7",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.7
59170149,"2620 Dowler Pl, Victoria, BC V8T 4H8",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.95
59170149,"955 Hillside Ave, Victoria, BC V8T 1Z9",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.43
59170150,"723 Field St, Victoria, BC V8T 1N7",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.88
59170151,"932 Market St, Victoria, BC V8T 2E9",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.28
59170152,"272 Fifth St, Victoria, BC V8T 4E8",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.29
59170152,"272 Fifth St, Victoria, BC V8T 4E8",Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.43
59170152,"2735 Fifth St, Victoria, BC V8T 4B1",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.36
59170153,"2648 Graham St, Victoria, BC V8T 3Y9",Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.46
59170154,"2840 Prior St, Victoria, BC V8T 3Y3",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.38
59170154,"2840 Prior St, Victoria, BC V8T 3Y3",Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.49
59170155,"2631 Blackwood St, Victoria, BC V8T 3W3",Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.21
59170155,"2631 Blackwood St, Victoria, BC V8T 3W3",Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.38
59170156,"1250 Vista Heights, Victoria, BC V8T 2H8",Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.21
59170156,"1250 Vista Heights, Victoria, BC V8T 2H8",Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.38
59170156,"1345 Topaz Ave, Victoria, BC V8T 4Z2",Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.2
59170156,"1345 Topaz Ave, Victoria, BC V8T 4Z2",Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.5
59170157,"2526 Wesley Pl, Victoria, BC V8T 1V2",George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.33
59170157,"2526 Wesley Pl, Victoria, BC V8T 1V2",Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.41
59170157,"2576 Empire St, Victoria, BC V8T 3M6",Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.26
59170157,"2576 Empire St, Victoria, BC V8T 3M6",George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.49
59170161,"1708 Quadra St, Victoria, BC V8W 2L8",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.44
59170162,"1028 Balmoral Rd, Victoria, BC V8T 1A8",George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.59
59170162,"1565 Vancouver St, Victoria, BC V8V 0C8",George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.55
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.41
59170164,"1030 Yates St, Victoria, BC V8V 5A7",Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.42
59170165,"1144 View St, Victoria, BC V8V 3M1",Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.51
59170166,"1132 Johnson St, Victoria, BC V8V 3N8",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.55
59170166,"1215 Johnson St, Victoria, BC V8V 3N9",École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.46
59170167,"1607 Rebecca St, Victoria, BC V8T 3N3",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.41
59170168,"1229 Pandora Ave, Victoria, BC V8V 3R3",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.36
59170168,"1229 Pandora Ave, Victoria, BC V8V 3R3",École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.44
59170168,"26-1132 Johnson St, Victoria, BC V8V 3N8",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.56
59170169,"1230 Balmoral Rd, Victoria, BC V8T 1B3",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.21
59170169,"1230 Balmoral Rd, Victoria, BC V8T 1B3",George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.46
59170169,"1285 Balmoral Rd, Victoria, BC V8T 1B4",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.24
59170169,"1285 Balmoral Rd, Victoria, BC V8T 1B4",École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.42
59170170,"1215 Johnson St, Victoria, BC V8V 3N9",École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.46
59170170,"1250 Johnson St, Victoria, BC V8V 4L4",École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.38
59170170,"1250 Johnson St, Victoria, BC V8V 4L4",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.46
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.48
59170171,"1404 Harrison St, Victoria, BC V8S 3S2",École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.2
59170171,"1404 Harrison St, Victoria, BC V8S 3S2",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.47
59170172,"1436 Elford St, Victoria, BC V8S 3S8",École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.32
59170174,"1337 Grant St, Victoria, BC V8R 1M2",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.26
59170174,"1337 Grant St, Victoria, BC V8R 1M2",École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.49
59170174,"1434 Grant St, Victoria, BC V8R 1M5",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.44
59170175,"1436 Gladstone Ave, Victoria, BC V8R 1S3",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.45
59170175,"1551 Gladstone Ave, Victoria, BC V8R 1S4",Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.69
59170175,"2234 Forbes St, Victoria, BC V8R 4B4",Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.62
59170177,"1530 Belcher Ave, Victoria, BC V8R 4N1",Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.38
59170178,"1550 Richmond Ave, Victoria, BC V8R 4P6",Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.18
59170179,"1827 Chestnut St, Victoria, BC V8R 4N6",Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.36
59170180,"1607 Fell St, Victoria, BC V8R 4V9",Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.09
59170180,"1746 Davie St, Victoria, BC V8R 4W6",Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.21
59170180,"1746 Davie St, Victoria, BC V8R 4W6",St. Patrick's Elementary School," 2368 Trent St, Victoria, BC V8R 4Z3  ",0.41
59170181,"1605 Redfern St, Victoria, BC V8R 4X3",Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.27
59170181,"1732 Amphion St, Victoria, BC V8R 4Z7",Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.34
59170181,"1732 Amphion St, Victoria, BC V8R 4Z7",St. Patrick's Elementary School," 2368 Trent St, Victoria, BC V8R 4Z3  ",0.37
59170197,"941 Lawndale Ave, Victoria, BC V8S 4C9",Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.46
59170198,"1041 Chamberlain St, Victoria, BC V8S 4C1",Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.3
59170199,"1750 Rockland Ave, Victoria, BC V8S 1W9",Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.39
59170200,"34 Armine Pl, Victoria, BC V8S 1S7",Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.32
59170200,"34 Armine Pl, Victoria, BC V8S 1S7",Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.41
59170200,"801 Bank St, Victoria, BC V8S 4A8",Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.16
59170200,"801 Bank St, Victoria, BC V8S 4A8",Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.47
59170201,"1530 Despard Ave, Victoria, BC V8S 1T3",Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.31
59170201,"1530 Despard Ave, Victoria, BC V8S 1T3",Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.4
59170201,"1730 Algoa Pl, Victoria, BC V8S 5J6",Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.11
59170201,"1730 Algoa Pl, Victoria, BC V8S 5J6",Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.47
59170202,"1708 Chandler Ave, Victoria, BC V8S 1N6",Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.14
59170202,"1708 Chandler Ave, Victoria, BC V8S 1N6",Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.24
59170202,"1708 Chandler Ave, Victoria, BC V8S 1N6",Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.29
59170203,"1737 Fairfield Rd, Victoria, BC V8S 1G6",Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.07
59170203,"1737 Fairfield Rd, Victoria, BC V8S 1G6",Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.29
59170203,"1737 Fairfield Rd, Victoria, BC V8S 1G6",Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.35
59170203,"237 Wildwood Ave, Victoria, BC V8S 3W2",Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.21
59170203,"237 Wildwood Ave, Victoria, BC V8S 3W2",Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.32
59170204,"326 Irving Rd, Victoria, BC V8S 4A2",Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.3
59170204,"326 Irving Rd, Victoria, BC V8S 4A2",Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.46
59170204,"443 Chadwick Pl, Victoria, BC V8S 1H4",Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.6
59170224,"1733 Kings Rd, Victoria, BC V8R 2N9",St. Michaels University School ,"3400 Richmond Rd, Victoria, BC V8P 4P5",0.22
