DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170225,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.15,1138123
59170226,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.46,1003121
59170227,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.81,774338
59170228,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.88,1077533
59170229,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.52,1313463
59170272,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",4.39,1531335
59170273,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.79,1390356
59170274,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.91,1354646
59170275,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.36,2250456
59170276,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.35,1296327
59170277,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.08,1603164
59170278,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.96,984172
59170279,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.97,1357393
59170280,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.22,1365597
59170281,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.05,769011
59170282,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.14,1685793
59170285,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.41,920651
59170286,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.68,1063124
59170287,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.65,713505
59170288,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.75,1054632
59170289,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.41,1115378
59170290,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.96,1198557
59170291,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",4.12,1402114
59170292,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",4.36,1494601
59170293,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",4.52,1553438
59170294,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",4.41,1514264
59170295,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.97,1616849
59170296,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.61,1172227
59170297,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.42,826680
59170298,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.15,980853
59170299,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.35,2272240
59170300,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.53,1261434
59170301,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.54,1612156
59170302,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.42,1842992
59170303,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.28,1486477
59170304,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.28,11899778
59170305,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.08,1650632
59170308,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",2.96,1959497
59170309,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",2.74,1559418
59170310,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",2.52,1021826
