DAUID,DA_address,Target_name,Target_address,Distance (km)
59170148,"2317 Dowler Pl, Victoria, BC V8T 4H5",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.42
59170148,"2501 Dowler Pl, Victoria, BC V8T 4H7",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.33
59170148,"2501 Dowler Pl, Victoria, BC V8T 4H7",Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.44
59170148,"2533 Dowler Pl, Victoria, BC V8T 4H7",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.29
59170148,"2533 Dowler Pl, Victoria, BC V8T 4H7",Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.38
59170148,"2533 Dowler Pl, Victoria, BC V8T 4H7",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.49
59170149,"2620 Dowler Pl, Victoria, BC V8T 4H8",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.51
59170149,"955 Hillside Ave, Victoria, BC V8T 1Z9",Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.12
59170149,"955 Hillside Ave, Victoria, BC V8T 1Z9",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.24
59170149,"955 Hillside Ave, Victoria, BC V8T 1Z9",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.24
59170150,"723 Field St, Victoria, BC V8T 1N7",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.57
59170151,"932 Market St, Victoria, BC V8T 2E9",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.02
59170151,"932 Market St, Victoria, BC V8T 2E9",Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.11
59170151,"932 Market St, Victoria, BC V8T 2E9",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.28
59170152,"272 Fifth St, Victoria, BC V8T 4E8",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.46
59170152,"2735 Fifth St, Victoria, BC V8T 4B1",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.13
59170152,"2735 Fifth St, Victoria, BC V8T 4B1",Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.23
59170152,"2735 Fifth St, Victoria, BC V8T 4B1",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.27
59170153,"2648 Graham St, Victoria, BC V8T 3Y9",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.15
59170153,"2648 Graham St, Victoria, BC V8T 3Y9",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.27
59170153,"2648 Graham St, Victoria, BC V8T 3Y9",Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.29
59170154,"2840 Prior St, Victoria, BC V8T 3Y3",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.33
59170154,"2840 Prior St, Victoria, BC V8T 3Y3",Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.45
59170155,"2631 Blackwood St, Victoria, BC V8T 3W3",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.38
59170155,"2631 Blackwood St, Victoria, BC V8T 3W3",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.49
59170156,"1250 Vista Heights, Victoria, BC V8T 2H8",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.54
59170156,"1345 Topaz Ave, Victoria, BC V8T 4Z2",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.78
59170157,"2526 Wesley Pl, Victoria, BC V8T 1V2",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.65
59170157,"2576 Empire St, Victoria, BC V8T 3M6",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.55
59170162,"1028 Balmoral Rd, Victoria, BC V8T 1A8",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.19
59170162,"1565 Vancouver St, Victoria, BC V8V 0C8",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.4
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.25
59170164,"1030 Yates St, Victoria, BC V8V 5A7",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.22
59170165,"1144 View St, Victoria, BC V8V 3M1",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.47
59170167,"1607 Rebecca St, Victoria, BC V8T 3N3",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.31
59170168,"1229 Pandora Ave, Victoria, BC V8V 3R3",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.51
59170168,"26-1132 Johnson St, Victoria, BC V8V 3N8",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.31
59170169,"1230 Balmoral Rd, Victoria, BC V8T 1B3",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.38
59170169,"1285 Balmoral Rd, Victoria, BC V8T 1B4",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.36
59170170,"1215 Johnson St, Victoria, BC V8V 3N9",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.45
59170170,"1250 Johnson St, Victoria, BC V8V 4L4",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.53
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.24
59170171,"1404 Harrison St, Victoria, BC V8S 3S2",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.54
59170172,"1436 Elford St, Victoria, BC V8S 3S8",Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.39
59170172,"1436 Elford St, Victoria, BC V8S 3S8",Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.48
59170174,"1337 Grant St, Victoria, BC V8R 1M2",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.26
59170174,"1434 Grant St, Victoria, BC V8R 1M5",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.35
59170174,"1434 Grant St, Victoria, BC V8R 1M5",Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.41
59170174,"1434 Grant St, Victoria, BC V8R 1M5",Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.44
59170175,"1436 Gladstone Ave, Victoria, BC V8R 1S3",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.3
59170175,"1551 Gladstone Ave, Victoria, BC V8R 1S4",Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.35
59170175,"1551 Gladstone Ave, Victoria, BC V8R 1S4",Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.39
59170175,"1551 Gladstone Ave, Victoria, BC V8R 1S4",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.46
59170175,"2234 Forbes St, Victoria, BC V8R 4B4",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.36
59170175,"2234 Forbes St, Victoria, BC V8R 4B4",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.45
59170177,"1530 Belcher Ave, Victoria, BC V8R 4N1",Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.15
59170177,"1530 Belcher Ave, Victoria, BC V8R 4N1",Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.24
59170178,"1550 Richmond Ave, Victoria, BC V8R 4P6",Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.35
59170178,"1550 Richmond Ave, Victoria, BC V8R 4P6",Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.44
59170179,"1827 Chestnut St, Victoria, BC V8R 4N6",Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.36
59170179,"1827 Chestnut St, Victoria, BC V8R 4N6",Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.44
59170180,"1607 Fell St, Victoria, BC V8R 4V9",Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7",0.43
59170180,"1746 Davie St, Victoria, BC V8R 4W6",Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7",0.26
59170181,"1605 Redfern St, Victoria, BC V8R 4X3",Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7",0.38
59170181,"1732 Amphion St, Victoria, BC V8R 4Z7",Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7",0.17
59170197,"941 Lawndale Ave, Victoria, BC V8S 4C9",Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.87
59170198,"1041 Chamberlain St, Victoria, BC V8S 4C1",Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7",0.63
59170199,"1750 Rockland Ave, Victoria, BC V8S 1W9",Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.35
59170199,"1750 Rockland Ave, Victoria, BC V8S 1W9",Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.35
59170200,"34 Armine Pl, Victoria, BC V8S 1S7",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.83
59170200,"801 Bank St, Victoria, BC V8S 4A8",Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.82
59170201,"1530 Despard Ave, Victoria, BC V8S 1T3",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.72
59170201,"1730 Algoa Pl, Victoria, BC V8S 5J6",Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.61
59170202,"1708 Chandler Ave, Victoria, BC V8S 1N6",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.46
59170203,"1737 Fairfield Rd, Victoria, BC V8S 1G6",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.41
59170203,"237 Wildwood Ave, Victoria, BC V8S 3W2",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.33
59170204,"326 Irving Rd, Victoria, BC V8S 4A2",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.64
59170204,"443 Chadwick Pl, Victoria, BC V8S 1H4",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.99
59170224,"1733 Kings Rd, Victoria, BC V8R 2N9",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.51
59170225,"1651 Pearl St, Victoria, BC V8R 2Z2",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.87
59170226,"2646 Scott St, Victoria, BC V8R 4H9",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.4
59170227,"1543 Pearl St, Victoria, BC V8R 2Y8",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.89
59170227,"1546 Westall Ave, Victoria, BC V8T 2G7",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",1.21
59170228,"1435 Myrtle Ave, Victoria, BC V8R 2Z5",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.93
59170229,"1637 Burton Ave, Victoria, BC V8T 2N5",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",1.49
59170272,"142 Beechwood Ave, Victoria, BC V8S 3W5",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.46
59170273,"1450 Hamley St, Victoria, BC V8S 1N1",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.52
59170273,"339 Stannard Ave, Victoria, BC V8S 3M3",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.15
59170274,"1322 D Thurlow Rd, Victoria, BC V8S 1L6",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.58
59170274,"1331 Vimy Pl, Victoria, BC V8S 1C5",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.73
59170274,"1423 Fairfield Rd, Victoria, BC V8S 1E6",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.49
59170275,"1315 Richardson St, Victoria, BC V8S 1P6",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.92
59170275,"1329 Minto St, Victoria, BC V8S 1P3",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.84
59170275,"441 Stannard Ave, Victoria, BC V8S 3M6",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.33
59170275,"524C St Charles St, Victoria, BC V8S 3N7",Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.51
59170275,"711 Robleda Crescent, Victoria, BC V8S 3K6",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.87
59170276,"614 Cornwall St, Victoria, BC V8V 4L1",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.01
59170276,"801 Langham Ct, Victoria, BC V8V 4J3",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.97
59170277,"1310 Rockland Ave, Victoria, BC V8S 1V5",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.98
59170277,"1314 Manor Rd, Victoria, BC V8S 2A2",Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.84
59170278,"1012 Pentrelew Pl, Victoria, BC V8V 4J4",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.79
59170279,"1144 Rockland Ave, Victoria, BC V8V 3H7",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.62
59170280,"1020 Richardson St, Victoria, BC V8V 3C5",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.83
59170280,"1138 McClure St, Victoria, BC V8V 3G2",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.8
59170281,"1019 Rockland Ave, Victoria, BC V8V 3H6",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.6
59170282,"929 Burdett Ave, Victoria, BC V8V 3G6",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.93
59170285,"1027 Collinson St, Victoria, BC V8V 3B9",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.97
59170286,"1030 Pendergast St, Victoria, BC V8V 2X2",For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",1.17
59170286,"1038 Harling Ln, Victoria, BC V8V 3T6",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",1.17
59170287,"419 Chester Ave, Victoria, BC V8V 4B9",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",1.25
59170288,"1255 Oscar St, Victoria, BC V8V 2X6",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.94
59170288,"354 Chester Ave, Victoria, BC V8V 4B6",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.24
59170289,"535 Su'it St, Victoria, BC V8V 4C3",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",1.04
59170290,"1017 Oliphant Ave, Victoria, BC V8V 2T9",For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",1.08
59170290,"1147 Oxford St, Victoria, BC V8V 2V2",Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.27
