DAUID,doctors_count,downtown_count,entertainment_count,golf_count,grocery_count,hospital_count,hospitals_count,parks_count,school_count,shopping_count,university_count,waterfront_count,Residential_TotalGross_Average
59170371,0,0,0,0,1,0,0,3,2,0,0,1,1029176
59170372,0,0,0,0,1,0,0,1,3,0,0,1,984319
59170373,0,0,0,0,2,0,0,2,3,0,0,0,965773
59170375,0,0,0,0,1,0,0,2,2,1,0,0,994132
59170376,0,0,0,0,1,0,0,3,1,0,0,1,1032131
59170378,0,0,0,0,0,0,0,2,0,0,0,1,1765680
59170383,0,0,1,0,0,0,0,4,1,3,0,1,1008114
59170384,0,0,0,0,0,0,0,2,1,2,0,0,667343
59170385,0,0,1,0,0,0,0,2,0,2,0,0,1429892
59170386,0,0,1,0,0,0,0,5,1,0,0,1,1708097
59170387,0,0,1,0,0,0,0,3,1,0,0,1,669043
59170388,1,0,1,0,0,0,1,3,0,0,0,1,904377
59170389,1,0,0,0,0,0,1,3,0,0,0,1,1037755
59170390,1,0,0,0,0,0,1,2,0,0,0,1,1346304
59170554,0,0,0,0,1,0,0,1,1,0,0,0,1526738
59170555,0,0,0,0,1,0,0,1,1,0,0,0,1592567
59170556,0,0,2,0,0,1,0,3,1,0,0,0,1638956
59170557,0,0,1,0,2,0,0,3,1,0,0,0,1757910
59170558,0,0,1,0,0,1,0,1,1,0,0,0,1734242
59170598,0,0,0,0,1,1,1,0,1,0,0,0,970445
59170600,0,0,0,0,1,1,1,2,0,0,0,0,824751
59170601,0,0,0,0,3,1,0,2,0,0,0,0,973857
59170610,1,0,1,0,1,0,3,3,2,2,0,0,1773627
59170611,1,1,8,0,0,1,3,2,1,0,0,0,878987
59170612,1,0,0,0,2,1,1,3,0,0,0,0,1408020
59170722,0,0,0,0,1,0,0,3,2,0,0,1,1046000
59170723,0,0,0,0,1,0,0,1,2,1,0,1,950552
59170805,0,1,2,0,0,0,0,1,0,1,0,1,619204
59170806,0,1,6,0,0,0,0,1,0,1,0,0,804136
59170807,0,1,6,0,0,0,0,2,0,0,4,1,1302777
59170808,1,1,6,0,0,0,0,5,0,0,0,0,971891
59170809,1,1,9,0,0,0,0,2,0,1,8,1,692965
59170810,0,1,9,0,1,0,0,2,0,0,3,0,432522
59170811,1,1,14,0,0,0,0,5,0,1,10,1,1265739
59170814,1,1,11,0,0,1,2,3,1,1,6,1,891064
59170815,1,1,11,0,1,1,0,2,1,1,5,0,779350
59170816,0,0,0,0,1,0,0,1,3,0,0,1,1287572
59170817,0,0,0,0,1,0,0,0,1,1,0,1,680343
59170819,0,0,0,0,0,0,0,3,0,0,0,1,1005417
59170820,0,0,0,0,1,0,0,4,2,0,0,1,902809
