DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170202,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",0.54,1550804
59170203,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",0.31,1300673
59170203,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",0.32,1300673
59170203,Ross Bay Pebbles Beach,"1528 Hollywood Crescent, Victoria, BC V8S 3M7",0.35,1300673
59170204,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",0.42,1727751
59170224,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",2.85,732699
59170225,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",3.02,1138123
59170226,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.74,1003121
59170227,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.81,774338
59170228,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.53,1077533
59170229,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",3.04,1313463
59170272,Ross Bay Pebbles Beach,"1528 Hollywood Crescent, Victoria, BC V8S 3M7",0.15,1531335
59170272,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",0.27,1531335
59170272,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",0.34,1531335
59170273,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",0.6,1390356
59170274,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",0.71,1354646
59170274,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.74,1354646
59170275,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",1.02,2250456
59170275,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",1.33,2250456
59170276,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",1.21,1296327
59170276,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",1.42,1296327
59170277,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",1.35,1603164
59170278,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",1.58,984172
59170279,Greater Victoria Harbour Authority,"1019 Wharf St #100, Victoria, BC V8W 2Y9",1.29,1357393
59170280,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",1.12,1365597
59170281,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",1.04,769011
59170282,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.38,1685793
59170282,Greater Victoria Harbour Authority,"1019 Wharf St #100, Victoria, BC V8W 2Y9",0.45,1685793
59170285,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",1.0,920651
59170286,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",1.04,1063124
59170287,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",1.06,713505
59170288,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.93,1054632
59170288,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.95,1054632
59170289,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",1.28,1115378
59170290,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.83,1198557
59170291,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.57,1402114
59170291,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.45,1402114
59170291,Steve Fonyo Beach,"645 Dallas Rd, Victoria, BC V8V 1B6",0.46,1402114
59170292,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.4,1494601
59170292,Steve Fonyo Beach,"645 Dallas Rd, Victoria, BC V8V 1B6",0.4,1494601
59170292,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.41,1494601
59170293,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.24,1553438
59170293,Steve Fonyo Beach,"645 Dallas Rd, Victoria, BC V8V 1B6",0.24,1553438
59170293,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.28,1553438
59170294,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.21,1514264
59170294,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.26,1514264
59170294,Steve Fonyo Beach,"645 Dallas Rd, Victoria, BC V8V 1B6",0.26,1514264
59170294,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",0.61,1514264
59170295,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.93,1616849
59170296,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.71,1172227
59170297,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.49,826680
59170298,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.32,980853
59170299,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.45,2272240
59170300,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.82,1261434
59170301,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.98,1612156
59170302,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.23,1842992
59170302,Ogden Point Pier,"185 Dallas Rd, Victoria, BC V8V 1A1",1.08,1842992
59170303,Ogden Point Pier,"185 Dallas Rd, Victoria, BC V8V 1A1",0.76,1486477
59170304,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.76,11899778
59170305,Ogden Point Pier,"185 Dallas Rd, Victoria, BC V8V 1A1",0.72,1650632
59170308,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.43,1959497
59170309,Transport Canada - Port of Victoria,"12 Erie St, Victoria, BC V8V 4Z9",0.54,1559418
59170310,Transport Canada - Port of Victoria,"12 Erie St, Victoria, BC V8V 4Z9",0.31,1021826
59170311,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.5,1190110
59170312,Ogden Point Pier,"185 Dallas Rd, Victoria, BC V8V 1A1",0.28,1035481
59170312,Transport Canada - Port of Victoria,"12 Erie St, Victoria, BC V8V 4Z9",0.23,1035481
59170313,Ogden Point Pier,"185 Dallas Rd, Victoria, BC V8V 1A1",0.41,1653677
59170313,Transport Canada - Port of Victoria,"12 Erie St, Victoria, BC V8V 4Z9",0.44,1653677
59170371,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.41,1029176
59170372,Banfield Park Dock,"500 B Selkirk Ave, Victoria, BC V9A 2T1",0.45,984319
59170373,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.55,965773
59170375,Victoria Harbour Ferry - Dockside Green,"387 Harbour Rd, Victoria, BC V9A 3S2",0.56,994132
59170376,Rainbow Park,"201 Robert St, Victoria, BC V9A 3X1",0.25,1032131
59170376,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.29,1032131
