DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170169,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.42,1571427
59170170,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.42,775090
59170170,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.46,775090
59170170,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.48,775090
59170171,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.2,1738272
59170171,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.47,1738272
59170172,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.32,975298
59170174,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.35,1179242
59170174,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.49,1179242
59170175,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.54,1259333
59170175,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.69,1259333
59170177,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.38,802456
59170178,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.18,1077058
59170179,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.36,912374
59170180,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.15,1444451
59170180,St. Patrick's Elementary School," 2368 Trent St, Victoria, BC V8R 4Z3  ",0.41,1444451
59170181,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.31,1034612
59170181,St. Patrick's Elementary School," 2368 Trent St, Victoria, BC V8R 4Z3  ",0.37,1034612
59170197,Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.46,1344632
59170198,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.3,1186784
59170199,Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.39,1330660
59170200,Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.4,1457357
59170200,Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.28,1457357
59170201,Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.39,1862585
59170201,Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.26,1862585
59170202,Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.14,1550804
59170202,Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.24,1550804
59170202,Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.29,1550804
59170203,Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.14,1300673
59170203,Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.3,1300673
59170203,Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.35,1300673
59170204,Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.3,1727751
59170204,Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.53,1727751
59170224,St. Michaels University School ,"3400 Richmond Rd, Victoria, BC V8P 4P5",0.22,732699
59170224,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.49,732699
59170225,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.38,1138123
59170225,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.41,1138123
59170225,École Intermédiaire Lansdowne Middle School," 1765 Lansdowne Rd, Victoria, BC V8P 1A7",0.48,1138123
59170226,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.23,1003121
59170226,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.44,1003121
59170227,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.34,774338
59170227,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.31,774338
59170228,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.17,1077533
59170228,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.38,1077533
59170229,École Intermédiaire Lansdowne Middle School," 1765 Lansdowne Rd, Victoria, BC V8P 1A7",0.49,1313463
59170272,Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.43,1531335
59170273,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.39,1390356
59170273,Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.24,1390356
59170273,Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.46,1390356
59170274,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.38,1354646
59170275,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.28,2250456
59170275,Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.26,2250456
59170275,Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.47,2250456
59170275,Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.48,2250456
59170275,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.46,2250456
59170276,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.29,1296327
59170277,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.35,1603164
59170278,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.37,984172
59170279,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.38,1357393
59170280,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.33,1365597
59170281,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.12,769011
59170282,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.55,1685793
59170285,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.39,920651
59170286,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.69,1063124
59170286,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.57,1063124
59170287,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.42,713505
59170288,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.31,1054632
59170289,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.4,1115378
59170290,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.66,1198557
59170291,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.54,1402114
59170292,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.86,1494601
59170293,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.98,1553438
59170294,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.82,1514264
